Temperature,Humidity,pm2_5,CO
14.798,NA,,
16.729,NA,,
16.265,NA,,
16.072,NA,,
16.826,NA,,
15.615,NA,,
16.729,NA,,
17.813,NA,,
15.636,NA,,
15.163,NA,,
14.798,NA,,
16.265,NA,,
16.072,NA,,
17.813,NA,,
15.163,NA,,
16.826,NA,,
15.636,NA,,
15.615,NA,,
16.729,NA,,
16.265,NA,,
15.163,NA,,
15.636,NA,,
16.072,NA,,
14.798,NA,,
15.615,NA,,
16.729,NA,,
16.826,NA,,
17.813,NA,,
16.139,NA,,
16.306,NA,,
17.105,NA,,
16.623,NA,,
14.982,NA,,
16.112,NA,,
16.613,NA,,
15.929,NA,,
18.173,NA,,
14.982,NA,,
16.139,NA,,
16.306,NA,,
16.112,NA,,
16.623,NA,,
17.105,NA,,
18.173,NA,,
16.613,NA,,
15.929,NA,,
16.139,NA,,
16.306,NA,,
14.982,NA,,
17.105,NA,,
16.112,NA,,
16.623,NA,,
18.173,NA,,
15.929,NA,,
16.613,NA,,
16.139,NA,,
14.982,NA,,
16.306,NA,,
16.613,NA,,
17.105,NA,,
16.623,NA,,
18.173,NA,,
16.112,NA,,
15.929,NA,,
17.783,NA,,
16.526,NA,,
17.413,NA,,
18.058,NA,,
17.545,NA,,
17.187,NA,,
17.927,NA,,
18.691,NA,,
17.783,NA,,
16.526,NA,,
18.058,NA,,
19.692,NA,,
17.187,NA,,
18.691,NA,,
17.545,NA,,
19.692,NA,,
17.927,NA,,
17.413,NA,,
17.783,NA,,
17.927,NA,,
19.692,NA,,
17.187,NA,,
18.691,NA,,
17.545,NA,,
16.526,NA,,
17.413,NA,,
18.058,NA,,
16.526,NA,,
18.058,NA,,
17.783,NA,,
17.545,NA,,
17.187,NA,,
17.413,NA,,
18.691,NA,,
17.927,NA,,
19.692,NA,,
22.031,NA,,
25.9,NA,,
21.536,NA,,
24.679,NA,,
20.664,NA,,
21.171,NA,,
23.037,NA,,
22.741,NA,,
23.309,NA,,
21.536,NA,,
25.9,NA,,
22.031,NA,,
21.171,NA,,
23.037,NA,,
23.309,NA,,
24.679,NA,,
20.664,NA,,
22.741,NA,,
22.741,NA,,
23.037,NA,,
20.664,NA,,
25.9,NA,,
21.171,NA,,
21.536,NA,,
22.031,NA,,
24.679,NA,,
23.309,NA,,
30.788,NA,,
31.26,NA,,
37.774,NA,,
30.563,NA,,
33.677,NA,,
34.075,NA,,
35.116,NA,,
32.868,NA,,
31.967,NA,,
37.774,NA,,
33.677,NA,,
30.788,NA,,
31.26,NA,,
35.116,NA,,
30.563,NA,,
31.967,NA,,
32.868,NA,,
34.181,NA,,
37.774,NA,,
30.788,NA,,
31.26,NA,,
31.967,NA,,
30.563,NA,,
32.868,NA,,
34.181,NA,,
35.116,NA,,
33.677,NA,,
37.774,NA,,
33.677,NA,,
31.967,NA,11.69,
30.788,NA,9.81,
31.26,NA,10.45,
32.868,NA,10.41,
34.181,NA,9.39,
30.563,NA,9.04,
35.116,NA,8.36,
39.905,NA,8.68,
35.777,NA,8.11,
34.255,NA,7.38,
36.572,NA,7.5,
35.56,NA,7.3,
35.635,NA,7.05,
37.066,NA,6.7,
38.182,NA,7.7,
37.221,NA,,
39.905,NA,24.46,
35.56,NA,46.51,
35.777,NA,0.98,
36.572,NA,4.09,
37.066,NA,6.02,
